,DatasetProperty,ClassifierProperty,TP,FN,TN,FP,PositiveCount,NegativeCount,Sim_AUROCs,Sim_AvgPrecs
0,Balanced,Balanced,100,100,100,100,200.0,200.0,"[0.482, 0.522, 0.487, 0.517, 0.496, 0.486, 0.512, 0.512, 0.501, 0.51]","[0.483, 0.508, 0.507, 0.515, 0.508, 0.479, 0.513, 0.506, 0.547, 0.506]"
1,Balanced,"PredBad(HighFP,HighFN)",20,180,20,180,200.0,200.0,"[0.096, 0.086, 0.098, 0.102, 0.102, 0.096, 0.102, 0.101, 0.105, 0.084]","[0.321, 0.321, 0.322, 0.323, 0.326, 0.324, 0.323, 0.332, 0.325, 0.319]"
2,Balanced,PredBadFN(HighFN),20,180,100,100,,,"[0.326, 0.29, 0.297, 0.295, 0.264, 0.303, 0.286, 0.293, 0.299, 0.292]","[0.383, 0.371, 0.374, 0.374, 0.375, 0.381, 0.376, 0.374, 0.375, 0.382]"
3,Balanced,PredBadFP(HighFP),100,100,20,180,,,"[0.308, 0.274, 0.301, 0.29, 0.295, 0.328, 0.317, 0.266, 0.294, 0.28]","[0.412, 0.399, 0.393, 0.41, 0.401, 0.418, 0.42, 0.387, 0.397, 0.386]"
4,Balanced,"PredGood(HighTP,HighTN)",180,20,180,20,200.0,200.0,"[0.904, 0.89, 0.9, 0.903, 0.908, 0.881, 0.884, 0.907, 0.909, 0.905]","[0.889, 0.863, 0.878, 0.882, 0.881, 0.853, 0.857, 0.878, 0.907, 0.89]"
5,Balanced,PredGoodTN(HighTN),100,100,180,20,,,"[0.7, 0.695, 0.666, 0.715, 0.705, 0.688, 0.7, 0.71, 0.704, 0.718]","[0.718, 0.713, 0.704, 0.747, 0.727, 0.709, 0.728, 0.753, 0.71, 0.73]"
6,Balanced,PredGoodTP(HighTP),180,20,100,100,,,"[0.698, 0.702, 0.685, 0.679, 0.715, 0.669, 0.693, 0.685, 0.704, 0.71]","[0.651, 0.627, 0.623, 0.612, 0.673, 0.601, 0.636, 0.613, 0.649, 0.641]"
7,Balanced,"PredNeg(HighTN,HighFN)",20,180,180,20,200.0,200.0,"[0.45, 0.487, 0.499, 0.517, 0.56, 0.474, 0.51, 0.467, 0.502, 0.566]","[0.474, 0.492, 0.493, 0.509, 0.536, 0.491, 0.51, 0.498, 0.504, 0.548]"
8,Balanced,"PredPos(HighTP,HighFP)",180,20,20,180,200.0,200.0,"[0.514, 0.528, 0.481, 0.48, 0.471, 0.51, 0.541, 0.489, 0.495, 0.508]","[0.506, 0.533, 0.475, 0.476, 0.477, 0.502, 0.575, 0.48, 0.493, 0.505]"
9,ManyNeg,Balanced,100,100,1000,1000,200.0,2000.0,"[0.514, 0.492, 0.508, 0.494, 0.518, 0.496, 0.507, 0.51, 0.507, 0.5]","[0.094, 0.09, 0.092, 0.091, 0.099, 0.094, 0.096, 0.093, 0.1, 0.087]"
10,ManyNeg,"PredBad(HighFP,HighFN)",20,180,200,1800,200.0,2000.0,"[0.109, 0.103, 0.099, 0.106, 0.106, 0.109, 0.086, 0.107, 0.09, 0.103]","[0.051, 0.05, 0.05, 0.05, 0.05, 0.05, 0.049, 0.05, 0.05, 0.05]"
11,ManyNeg,PredBadFN(HighFN),20,180,1000,1000,,,"[0.304, 0.312, 0.303, 0.297, 0.297, 0.316, 0.298, 0.303, 0.303, 0.285]","[0.06, 0.061, 0.061, 0.06, 0.06, 0.061, 0.06, 0.061, 0.06, 0.059]"
12,ManyNeg,PredBadFP(HighFP),100,100,200,1800,,,"[0.299, 0.315, 0.296, 0.296, 0.289, 0.287, 0.279, 0.299, 0.312, 0.32]","[0.064, 0.068, 0.064, 0.066, 0.06, 0.067, 0.061, 0.063, 0.067, 0.067]"
13,ManyNeg,"PredGood(HighTP,HighTN)",180,20,1800,200,200.0,2000.0,"[0.896, 0.897, 0.91, 0.904, 0.891, 0.898, 0.895, 0.907, 0.898, 0.903]","[0.461, 0.435, 0.458, 0.472, 0.399, 0.437, 0.424, 0.45, 0.472, 0.457]"
14,ManyNeg,PredGoodTN(HighTN),100,100,1800,200,,,"[0.695, 0.673, 0.724, 0.721, 0.7, 0.705, 0.715, 0.703, 0.682, 0.695]","[0.224, 0.243, 0.248, 0.254, 0.25, 0.255, 0.268, 0.244, 0.206, 0.234]"
15,ManyNeg,PredGoodTP(HighTP),180,20,1000,1000,,,"[0.702, 0.703, 0.696, 0.679, 0.685, 0.709, 0.702, 0.702, 0.696, 0.703]","[0.154, 0.151, 0.148, 0.14, 0.143, 0.154, 0.161, 0.153, 0.151, 0.155]"
16,ManyNeg,"PredNeg(HighTN,HighFN)",20,180,1800,200,200.0,2000.0,"[0.525, 0.483, 0.495, 0.51, 0.478, 0.491, 0.499, 0.49, 0.48, 0.485]","[0.096, 0.089, 0.095, 0.091, 0.093, 0.091, 0.099, 0.089, 0.089, 0.095]"
17,ManyNeg,"PredPos(HighTP,HighFP)",180,20,200,1800,200.0,2000.0,"[0.495, 0.546, 0.515, 0.508, 0.519, 0.51, 0.502, 0.512, 0.508, 0.485]","[0.088, 0.106, 0.106, 0.092, 0.098, 0.098, 0.094, 0.1, 0.099, 0.086]"
18,ManyPos,Balanced,1000,1000,100,100,2000.0,200.0,"[0.496, 0.519, 0.496, 0.503, 0.496, 0.52, 0.504, 0.494, 0.476, 0.48]","[0.907, 0.913, 0.899, 0.908, 0.907, 0.915, 0.913, 0.913, 0.903, 0.9]"
19,ManyPos,"PredBad(HighFP,HighFN)",200,1800,20,180,2000.0,200.0,"[0.11, 0.105, 0.113, 0.101, 0.097, 0.109, 0.105, 0.1, 0.096, 0.117]","[0.793, 0.79, 0.794, 0.787, 0.789, 0.793, 0.793, 0.79, 0.794, 0.794]"
